Team,Year,Wins,Losses,win%,Arena,Location,Capacity
Colorado Avalanche,2001,45,28,0.6164383561643836,Pepsi Center,"Denver, Colorado",17809
Dallas Stars,2001,36,28,0.5625,American Airlines Center,"Dallas, Texas",18532
Detroit Red Wings,2001,51,17,0.75,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,2001,38,28,0.5757575757575758,Rogers Place,"Edmonton, Alberta",18347
Florida Panthers,2001,22,44,0.3333333333333333,BB&T Center,"Sunrise, Florida",19250
Los Angeles Kings,2001,40,27,0.5970149253731343,Staples Center,"Los Angeles, California",18230
Minnesota Wild,2001,26,35,0.4262295081967213,Xcel Energy Center,"Saint Paul, Minnesota",17954
Montreal Canadiens,2001,36,31,0.5373134328358209,Bell Centre,"Montreal, Quebec",21302
Nashville Predators,2001,28,41,0.4057971014492754,Bridgestone Arena,"Nashville, Tennessee",17113
New Jersey Devils,2001,41,28,0.5942028985507246,Prudential Center,"Newark, New Jersey",16514
New York Islanders,2001,42,28,0.6,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,2001,42,28,0.6,Barclays Center,"Brooklyn, New York",15795
New York Rangers,2001,36,38,0.4864864864864865,Madison Square Garden,"New York City, New York",18006
